Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,63.9,20.4,0,20.27,16.98,0.57,9.67,1.76,16.81,12.79,23.23,3.24,2.8,1.76,0.27,8.82,0.57
2010,64,22.9,0,17.5,19.4,0.54,10.41,1.83,18.74,13.9,16.11,2.67,2.33,1.83,0.28,10.03,0.54
2011,61.4,19.6,4.7,17.06,15.02,0.51,7.72,1.84,14.19,10.48,13.46,3.27,2.99,1.84,0.34,11,0.51
2012,61.2,22.5,18.8,20.85,17.46,0.52,8.99,1.79,16.32,12.15,18.05,3.49,3.2,1.79,0.32,12.59,0.52
2013,60.6,23.2,29.4,11.08,20.54,0.5,10.35,1.71,18.08,13.88,20.26,2.95,2.71,1.71,0.22,14.46,0.5
2014,58.9,20.7,47.3,19.17,16.66,0.46,7.61,1.86,13.57,10.14,18.23,3.39,3.1,1.86,0.36,14.34,0.46
2015,60.4,22.9,45.4,19.82,18.27,0.45,8.22,1.9,15.44,10.85,20.79,3.23,2.97,1.9,0.36,14.93,0.45
2016,62.9,26.3,44.1,16.88,21.81,0.42,9.13,1.91,17.42,11.81,20.11,3.16,3.05,1.91,0.39,14.4,0.42
2017,63,26.5,54.3,21.8,20.02,0.38,7.64,1.96,14.81,9.62,15.27,3.03,2.92,1.96,0.39,14.06,0.38
2018,62,25.7,0,99.16,0.22,0.41,0.09,2.52,0.2,0.13,14.83,2.29,2.11,2.52,0.47,15.59,0.41
