Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,75,52.3,0,39.88,18.85,0.66,12.44,1.93,24.05,19.04,46.82,5.77,5.55,1.93,0.24,3.44,0.66
2011,76.8,47.3,0,41,18,0.8,14.33,1.48,22.91,19.92,41.36,5.12,4.96,1.48,0.09,3.62,0.8
2012,73.2,10.6,0,89.27,0.63,0.47,0.3,1.28,0.4,0.38,10.69,10.71,10.26,1.28,0.17,2.63,0.47
2013,76.2,35.6,0,45.53,18.94,0.48,9.04,1.16,10.95,10.05,50.18,11.88,11.46,1.16,0.02,2.99,0.48
2014,82.7,40.1,0,40.12,23.46,0.43,10.07,1.11,11.34,11.18,214.48,9.6,9.04,1.11,0,3.64,0.43
2015,84,34.7,0,40.46,20.47,0.4,8.19,1.12,9.14,9.03,270.3,11.25,10.91,1.12,0,3.71,0.4
2016,86.3,45,0,18.38,36.86,0.48,17.82,1.1,19.7,19.42,0,11.97,11.63,1.1,0,3.87,0.48
2017,86.6,49.7,0,22.63,39.16,0.54,21.3,1.14,23.84,23.39,0,12.92,12.64,1.14,0,3.64,0.54
2018,83.2,44.6,0,12.81,39.6,0.61,24.32,1.16,27.9,26.85,0,7.19,6.94,1.16,0,2.91,0.61
