Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,62.6,35.1,0,22.2,27.57,0.65,18.05,1.12,20.3,19.74,0,10.62,10.08,1.12,0,4.69,0.65
2010,64.5,35.4,0,21.22,29.01,0.6,17.3,1.25,20.68,18.05,0,4.16,4,1.25,0,4.65,0.6
2011,65.2,31,0,21,25.69,0.58,14.93,1.25,18.66,15.89,213.52,5.92,5.7,1.25,0.05,4.37,0.58
2012,58.9,25.4,0,19.41,21.4,0.6,12.91,1.31,16.54,14.66,160.36,4.22,3.95,1.31,0.04,4.68,0.6
2013,56.8,23.3,0,15.74,21.6,0.58,12.62,1.27,16.25,14.52,175.65,4.58,4.28,1.27,0.03,4.22,0.58
2014,61.1,25,0,19.3,21.88,0.55,11.93,1.25,15.06,13.77,171.88,4.8,4.52,1.25,0.03,3.27,0.55
2015,62.4,25.8,0,16.81,21.1,0.54,11.36,1.23,14.08,12.82,189.95,4.67,4.5,1.23,0.02,2.84,0.54
2016,61.1,26.3,0,19.35,21.58,0.57,12.37,1.2,15.02,14.02,195.76,6.29,6,1.2,0.03,2.85,0.57
2017,58.9,26.1,0,53.44,11.42,0.61,6.94,1.29,8.69,8.08,250.48,5.14,4.98,1.29,0.02,2.89,0.61
2018,56.5,22.9,0,11.96,22.46,0.64,14.29,1.31,18.62,17.26,307.25,3.92,3.76,1.31,0.02,2.68,0.64
