Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,45.7,17.8,21.5,25.98,14.02,0.88,12.29,4.82,74.37,28.41,46.12,1.36,1.13,4.82,0.97,6.73,0.88
2010,46.1,18.2,21.7,24.79,14.85,0.9,13.33,4.92,64.94,29.96,54.6,1.19,0.98,4.92,0.95,7.07,0.9
2011,46.9,19,22.2,24.51,14.83,0.93,13.79,5.78,73.43,31.15,52.1,1.21,0.98,5.78,1.14,7.64,0.93
2012,48.1,20.6,23,24.19,15.89,0.89,14.09,6.32,85.15,32.57,48.72,1.13,0.95,6.32,1.28,7.5,0.89
2013,48.6,19.6,25.1,15.58,16.52,0.81,13.43,5.54,79.15,29.24,49.57,1.28,1.07,5.54,1.44,7.17,0.81
2014,50,20,26.6,21.18,12.96,0.76,9.86,9.9,69.37,21.41,42.29,1.24,1.02,9.9,2.96,7.55,0.76
2015,49.8,19.2,33,16.19,16.14,0.71,11.57,7.75,100.96,25.32,35.07,1.24,1.07,7.75,2.34,7.61,0.71
2016,47.9,16.4,44.1,3.64,14.85,0.7,10.42,6.44,73.04,21.6,20.57,1.21,1.04,6.44,1.9,7.42,0.7
2017,45.8,14.9,48.5,49.49,7.27,0.65,4.74,7.12,32.1,9.6,19.54,1.33,1.18,7.12,2.26,7.21,0.65
2018,46.4,16.6,98,23.09,10.97,0.64,7.02,7.35,50.76,14.3,16.69,1.29,1.11,7.35,2.12,7.27,0.64
