Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,55.7,16.9,72.7,23.4,12.44,0.68,8.42,1.27,10.82,9.98,0,2.79,1.52,1.27,0.05,2.02,0.68
2010,65.3,35.7,31.3,28.55,26.28,0.75,19.72,1.28,25.16,23.84,0,3.39,2.65,1.28,0.04,2.48,0.75
2011,62.5,32.4,31.6,27.21,23.97,0.8,19.27,1.55,27.15,24.62,434.68,2.15,1.53,1.55,0.15,2.6,0.8
2012,62.1,27.4,40.8,26.01,20.63,0.69,14.16,1.65,22.66,18.66,166.26,2.43,1.71,1.65,0.26,2.07,0.69
2013,59.8,23.8,48.6,23.72,18.25,0.6,10.89,1.59,17.58,14.27,52.68,2.36,1.74,1.59,0.23,1.77,0.6
2014,63.7,28,42.8,25.93,20.95,0.61,12.7,1.62,20.35,16.52,83.3,1.73,1.15,1.62,0.21,1.72,0.61
2015,62.6,25.9,40.7,19.65,20.63,0.57,11.71,1.66,19.23,14.94,43.17,2.58,1.92,1.66,0.32,1.7,0.57
2016,60.9,24.9,47.9,20.25,17.37,0.55,9.53,1.69,15.98,12.11,18.64,1.75,1.07,1.69,0.31,1.75,0.55
2017,62.3,29.2,37.3,52.83,15.3,0.53,8.12,1.76,14.02,10.26,32.5,1.69,1.13,1.76,0.36,1.62,0.53
2018,61.7,32.8,36.4,9.71,29.72,0.56,16.76,1.71,29.07,21.29,50.82,1.73,1.1,1.71,0.33,1.57,0.56
