Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,78.7,22.8,0,31.41,14.05,0.67,9.42,1.89,19.32,14.13,13.77,1.82,1.44,1.89,0.39,6.14,0.67
2010,81.1,25,0,33.87,16.61,0.69,11.45,1.84,21.35,16.5,14.36,1.88,1.46,1.84,0.35,6.65,0.69
2011,82.6,26.9,0,34.37,16.46,0.75,12.3,1.95,23.32,16.81,17.1,1.25,0.92,1.95,0.19,7.19,0.75
2012,81.7,28.4,23.8,33.36,19.08,0.85,16.17,1.71,29.55,25.78,24.02,1.2,1,1.71,0.18,7.36,0.85
2013,86.2,29.6,30.8,31.98,20.57,0.82,16.87,1.55,27.35,24.1,41.33,1.87,1.63,1.55,0.14,7.43,0.82
2014,85.2,29.2,25.4,34.47,20.13,0.84,16.97,1.69,27.45,24.28,43.39,1.84,1.67,1.69,0.16,7.76,0.84
2015,82.7,21.1,83.9,41.99,8.71,0.82,7.18,2.13,13.49,11.73,27.37,1.47,1.27,2.13,0.21,6.51,0.82
2016,84,26.5,40.6,33,20.86,1.02,21.24,3.66,56.06,36.35,35.37,0.71,0.67,3.66,0.42,5.48,1.02
2017,84.4,26.9,37.7,28.97,18.76,1.24,23.35,3,77.22,49.33,45.1,0.73,0.68,3,0.32,5.02,1.24
2018,83.6,25.1,33.1,19.43,20.31,1.29,26.2,2.2,65.32,52.34,76.15,1.14,1.05,2.2,0.16,6.48,1.29
