Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,34.1,10.7,64.3,20.13,6.82,0.89,6.05,1.83,11.5,9.27,8.36,2,1.34,1.83,0.33,6.76,0.89
2010,35.5,14.9,42.9,30.96,9.62,0.98,9.45,1.73,16.8,13.66,13.61,1.93,1.25,1.73,0.27,7.63,0.98
2011,35.2,15.4,34.8,22.2,11.65,1.04,12.1,1.8,21.37,16.71,14.49,2.3,1.34,1.8,0.35,8.79,1.04
2012,36.1,15.9,28,30.75,16.01,0.96,15.39,1.83,27.89,20.2,17.84,3,2.2,1.83,0.43,8.92,0.96
2013,39.5,17.8,29.9,30.55,11.88,0.72,8.55,2.06,16.57,11.44,10.82,1.63,1.02,2.06,0.29,7.63,0.72
2014,40.1,20,39.4,29.97,20.34,0.77,15.65,2.59,35.66,20.28,11.79,2.29,1.82,2.59,0.88,8.53,0.77
2015,41.2,21.4,39.4,30.16,14.17,0.8,11.37,3.01,31.54,15.01,13.03,2.84,2.32,3.01,1.32,8.22,0.8
2016,41.9,22.5,41.9,30.02,14.96,0.88,13.16,3.57,42.94,17.59,13.27,2.22,1.78,3.57,1.69,8.42,0.88
2017,42,23.7,41.9,48.41,11.79,0.9,10.55,3.66,38.17,14.39,13.58,2.38,1.94,3.66,1.63,8.35,0.9
2018,41.7,24.3,60.1,24.48,17.36,0.93,16.2,4.57,65.39,23.19,14.21,1.63,1.21,4.57,1.85,8.28,0.93
