Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,79.2,34.8,30.8,26.5,24.93,0.78,19.34,1.97,38.42,32.17,0,1.82,1.58,1.97,0.09,8.48,0.78
2010,80.2,38.7,24.8,25,30.02,0.76,22.88,1.86,43.76,38.75,166.65,2.13,1.9,1.86,0.1,8.24,0.76
2011,77.7,38.8,22.6,17.53,33.1,0.71,23.77,1.9,44.84,37.71,96.16,2.6,2.35,1.9,0.21,8.86,0.71
2012,76.2,37.9,26.4,23.75,23.03,0.64,14.77,1.83,27.51,23.25,59.6,2.6,2.41,1.83,0.16,8.97,0.64
2013,74,34.4,44.3,19.18,28.08,0.59,16.58,1.8,30.09,25.7,64.06,2.71,2.53,1.8,0.16,8.53,0.59
2014,69,32.1,38.2,20.65,25.42,0.55,14.02,1.92,26.17,21.79,47.6,2.5,2.31,1.92,0.23,7.55,0.55
2015,64.7,30.1,49,34.12,13.03,0.54,7,2.2,14.36,11.16,24.7,2.5,2.3,2.2,0.35,6.75,0.54
2016,61.6,25,101.5,14.95,19.69,0.46,9.08,2.69,22.09,14.81,16.89,2.35,2.22,2.69,0.57,5.16,0.46
2017,61.9,25.2,66.1,8.4,23.57,0.41,9.75,3.33,29.37,16.36,11.42,2.48,2.37,3.33,1.05,4.27,0.41
2018,65.2,31.8,109.5,54.57,15.02,0.44,6.63,3.13,21.37,11.21,14.35,2.9,2.74,3.13,0.87,4.15,0.44
