Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,35.4,-3,0,0,-2.04,0.96,-1.96,1.35,-2.69,-3.3,-23.79,3.16,2.68,1.35,0.01,5.55,0.96
2010,39.8,7.2,0,6.65,7.14,0.88,6.27,1.41,8.66,8.08,87.72,3.42,3.01,1.41,0.01,6.21,0.88
2011,51.4,16.2,0,12.41,14.53,0.8,11.57,1.34,15.86,15.38,215.76,4.2,3.73,1.34,0.01,7.08,0.8
2012,52,15.1,0,15.03,13.14,0.72,9.4,1.33,12.54,12.17,201.98,4.89,4.28,1.33,0,7.53,0.72
2013,54.9,12,39,13.77,10.65,0.6,6.44,1.63,9.48,8.13,49.86,5.94,5.39,1.63,0.31,7.13,0.6
2014,55.5,16.2,33.3,16.46,13.47,0.65,8.73,1.63,14.21,11.09,17.36,6.38,5.69,1.63,0.32,8.21,0.65
2015,56.1,17.5,34.1,17.36,12.26,0.69,8.43,1.65,13.82,9.34,16.81,2.48,2.27,1.65,0,9.79,0.69
2016,58.8,28,23.5,12.55,24.11,0.8,19.36,1.71,32.57,22.94,33.84,4.69,4.19,1.71,0.35,14,0.8
2017,59.9,33,13.9,4.66,31.37,0.92,28.91,1.5,46.05,33.68,53.39,8.03,7.26,1.5,0.27,12.8,0.92
2018,61.2,32.5,8,0,35.34,0.96,33.76,1.42,49.26,39.05,68.17,7.94,6.66,1.42,0.21,9.76,0.96
