Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,79.4,36.8,0,28.61,24.05,0.49,11.81,1.89,23.25,17.37,13.43,2.03,1.86,1.89,0.37,12.88,0.49
2010,78.5,36.7,18,25.57,22.87,0.49,11.26,2,21.95,16.58,11.93,1.84,1.64,2,0.37,11.45,0.49
2011,76.4,35.7,12.6,25.1,23.99,0.53,12.65,1.85,24.22,17.85,15.12,2.76,2.5,1.85,0.37,12.68,0.53
2012,78.8,37.9,12.2,23,26.89,0.49,13.14,1.79,23.92,17.94,17.92,2.6,2.41,1.79,0.31,12.63,0.49
2013,80.9,38.8,16.8,21.39,29.38,0.46,13.64,1.83,24.74,18.89,18.44,3.23,2.97,1.83,0.41,12.24,0.46
2014,81.1,39.1,15.1,20.06,28.62,0.44,12.73,1.93,23.94,16.91,15.99,3.35,3.12,1.93,0.48,12.52,0.44
2015,80.3,37.4,20.1,22.57,26,0.38,9.88,2.27,20.8,13.05,12.23,4.13,3.92,2.27,0.82,11.33,0.38
2016,79.8,35.4,29.5,22.21,24.03,0.33,7.98,2.37,18.55,10.59,8.8,3.74,3.57,2.37,0.85,9.64,0.33
2017,80.2,35.2,28.4,18.95,24.74,0.31,7.55,2.51,18.46,10,7.41,3.08,2.95,2.51,0.89,8.1,0.31
2018,79.7,35.9,88.4,70.33,9.6,0.29,2.81,3,7.68,3.73,7.37,3.96,3.78,3,1.23,7.11,0.29
