Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,69.5,21.4,69.4,23.31,15.28,0.4,6.12,1.35,8.32,6.35,87.5,4.47,4.18,1.35,0,4.58,0.4
2010,68,29.9,36.7,19.51,29.54,0.38,11.19,1.47,15.77,13.23,70.55,2.22,2.01,1.47,0,4.62,0.38
2011,67.4,34.4,30,19.91,28.48,0.45,12.72,1.35,17.82,15.84,50.89,2.7,2.39,1.35,0,6.24,0.45
2012,62.9,29.7,30.2,19.49,31.95,0.48,15.38,1.28,20.2,18.81,73.91,2.95,2.6,1.28,0,7.26,0.48
2013,60.5,29.1,29.3,16.46,27.56,0.56,15.48,1.26,19.69,18.06,357.26,3.75,3.28,1.26,0,8.5,0.56
2014,59.7,28.5,35.4,14.17,30.08,0.56,16.93,1.24,21.17,19.84,0,3.73,3.32,1.24,0,9.66,0.56
2015,58.9,22.8,47.7,18.79,20.85,0.51,10.61,1.62,14.93,10.65,63.38,3.62,3.16,1.62,0.32,10.07,0.51
2016,58.6,27.6,57.4,16.55,24.22,0.46,11.06,1.65,18.05,12.67,24.01,3.14,2.85,1.65,0.31,9.73,0.46
2017,56.1,11.7,82.8,18.38,11.06,0.38,4.19,2.13,7.89,4.92,7.11,4,3.75,2.13,0.63,8.07,0.38
2018,54.9,3.3,0,0,-21.4,0.46,-9.91,35.22,-30.71,-13.61,1.67,1.55,1.33,35.22,16.56,7.34,0.46
