Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,66.6,26.1,24.1,28.13,16.38,0.77,12.68,1.58,22.26,18.9,25.11,1.54,1.44,1.58,0.08,7.69,0.77
2010,68.8,28.6,22.4,22.46,14.53,0.73,10.59,2.13,19.81,18.55,17.7,1.39,1.32,2.13,0.11,8.84,0.73
2011,69.4,29.1,26.5,27.87,24.16,0.65,15.6,1.83,30.55,26.12,30.61,1.54,1.51,1.83,0.13,9.49,0.65
2012,68.8,25.1,32.2,26.15,17.4,0.65,11.28,1.89,21.02,16.53,22.98,1.05,1,1.89,0.31,9.96,0.65
2013,70.3,27.1,32.7,24.36,19.78,0.62,12.33,1.69,22.02,17.12,25.29,1.16,1.1,1.69,0.23,9.53,0.62
2014,70,27.1,36.7,24.68,18.68,0.54,10,1.97,18.46,12.96,29.65,1.05,0.96,1.97,0.46,8.96,0.54
2015,68.1,23.4,43.2,23.43,14.74,0.52,7.67,1.78,14.33,9.73,17.22,1.23,1.18,1.78,0.37,9.68,0.52
2016,70.2,23.4,41.4,25.27,16.53,0.52,8.51,1.68,14.69,11.01,19.15,1.2,1.14,1.68,0.24,9.25,0.52
2017,69.9,21.6,38.7,19.3,17.13,0.54,9.26,1.66,15.49,11.71,19.08,1.17,1.1,1.66,0.2,8.46,0.54
2018,69.8,23.2,41.7,26.98,16.53,0.53,8.69,1.79,15.03,11.45,14.4,1.59,1.5,1.79,0.37,7.58,0.53
