Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,42.5,31.3,0,9.82,30,0.59,17.71,1.17,20.77,19.95,0,4.45,4.05,1.17,0.03,1.32,0.59
2010,43.7,31.1,69.1,6.28,30.17,0.51,15.45,1.2,18.34,17.26,244.84,3.28,2.95,1.2,0.02,1.14,0.51
2011,49.4,37.9,38.6,4.69,38.52,0.64,24.6,1.25,30.23,28.69,401.26,2.12,1.83,1.25,0.01,1.27,0.64
2012,45.4,33.1,54,7.37,31.42,0.57,17.98,1.23,22.3,20.66,232.61,1.93,1.64,1.23,0.03,0.97,0.57
2013,48.1,35.8,46,8.59,32.82,0.59,19.22,1.32,24.57,21.78,178.92,1.77,1.43,1.32,0.11,0.91,0.59
2014,47.1,35.2,42.6,14.87,30.82,0.54,16.59,1.51,23.63,19.43,82.59,1.76,1.56,1.51,0.25,0.85,0.54
2015,49.5,38.9,34.6,15.85,33.34,0.55,18.44,1.46,27.4,21.83,94.34,2.79,2.47,1.46,0.21,0.95,0.55
2016,48.7,38.1,0,13.59,35.9,0.54,19.21,1.39,27.33,22.39,110.86,3.11,2.82,1.39,0.16,1.01,0.54
2017,50.1,39.9,51.9,14.02,34.99,0.54,18.72,1.38,25.99,21.97,117.73,2.35,2.2,1.38,0.11,1.02,0.54
2018,50.6,39.6,53.5,12.9,35.3,0.5,17.79,1.33,24.19,21.1,119.96,2.22,2.01,1.33,0.06,0.95,0.5
