Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,47.9,21.1,39.1,27.12,14.1,0.87,12.23,1.25,15.43,15.25,0,3.85,2.65,1.25,0,3.23,0.87
2010,53.6,32.6,18.7,29.07,23.11,1.09,25.3,1.28,32.03,31.93,0,3.56,2.32,1.28,0,4.08,1.09
2011,49.3,24.9,21.8,24.33,16.28,0.81,13.19,1.87,20.91,13.87,71.36,2.24,1.28,1.87,0.38,3.38,0.81
2012,49.7,21,47.6,9.1,13.47,0.63,8.53,1.83,15.77,10.66,23.76,2.4,1.51,1.83,0.38,3.08,0.63
2013,52.1,24.4,58,21.5,17.41,0.63,10.91,1.75,19.52,13.49,29.99,2.92,1.83,1.75,0.38,3.34,0.63
2014,56.9,32.4,52.8,27.18,21.29,0.71,15.15,1.71,26.2,18.3,42.21,2.92,1.8,1.71,0.35,4.18,0.71
2015,58.2,34.9,48.9,29.17,22.64,0.77,17.34,1.63,28.94,20.6,47.84,2.77,1.72,1.63,0.31,4.78,0.77
2016,61.6,38.2,48.4,27.08,26.55,0.82,21.74,1.57,34.77,25.6,62.63,3.29,2.1,1.57,0.28,5.23,0.82
2017,64.3,43.7,46.7,39.44,24.38,0.88,21.41,1.71,35.06,25.94,78.95,3.86,2.55,1.71,0.34,5.78,0.88
2018,65.1,44.6,53.1,16.54,35.08,0.91,31.84,1.91,57.29,39.62,54.48,3.27,2.2,1.91,0.48,5.4,0.91
