Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,83.8,16.6,0,9.13,15.42,0.58,8.88,1.85,17.01,14.23,18.17,2.72,2.6,1.85,0.22,5.41,0.58
2010,82.2,10.8,0,11.79,9.74,0.45,4.43,1.85,8.19,7.11,33.11,2.46,2.36,1.85,0.16,4.93,0.45
2011,82.7,15,0,14.15,12.51,0.48,6.03,1.78,10.91,9.69,103.33,2.4,2.23,1.78,0.12,6.96,0.48
2012,83.5,19.5,0,8.87,19.22,0.49,9.35,1.82,16.88,15.35,204.38,2.36,2.28,1.82,0.09,7.98,0.49
2013,84.3,18.9,0,16.51,16.19,0.48,7.74,1.85,14.19,13.14,192.9,2.07,1.98,1.85,0.08,7.74,0.48
2014,86,22.3,0,11.6,19.47,0.45,8.85,1.81,16.15,15.12,287.75,2.33,2.25,1.81,0.07,6.9,0.45
2015,84.8,17.3,0,15.46,14.68,0.44,6.43,2.01,12.31,11.09,44.67,2.28,2.16,2.01,0.2,6.42,0.44
2016,84.5,18.6,0,17.81,15.17,0.42,6.44,1.99,12.86,11.01,47.65,2.27,2.23,1.99,0.19,6.08,0.42
2017,85.2,21,0,19.48,16.72,0.44,7.32,2.06,14.81,12.69,57.65,2.27,2.19,2.06,0.19,6.52,0.44
2018,85.6,22.5,0,68.35,7.2,0.38,2.76,2.65,7.33,4.94,25.34,2.73,2.68,2.65,0.54,7.38,0.38
